set_num,name,year,theme_id,num_parts
10255-1,Assembly Square,2017,155,4002
10256-1,Taj Mahal,2017,673,5923
10257-1,Carousel,2017,673,2669
10258-1,London Bus,2017,673,1686
10259-1,Winter Village Station,2017,227,902
10260-1,Downtown Diner,2018,155,2480
1026-1,Playhouse Boxes,1985,516,2
10261-1,Roller Coaster,2018,673,4124
10262-1,James Bond Aston Martin DB5,2018,673,1297
10263-1,Winter Village Fire Station,2018,227,1166
10264-1,Corner Garage,2019,155,2569
10265-1,Ford Mustang,2019,673,1471
10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087
10267-1,Gingerbread House,2019,673,1477
10268-1,Vestas Wind Turbine,2018,673,834
10269-1,Harley-Davidson Fat Boy,2019,673,1023
10270-1,Bookshop,2020,155,2504
1027-1,Vehicles,1985,516,32
10271-1,Fiat 500,2020,673,960
10272-1,Old Trafford - Manchester United,2020,673,3898
10273-1,Haunted House,2020,673,3232
10275-1,Elf Club House,2020,227,0
10277-1,Crocodile Locomotive,2020,673,1278
1028-1,6 x 12 Base Bricks,1985,516,6
10285-1,Compass Sensor for Mindstorms NXT,2011,259,1
10287-1,Intelligent NXT Brick (Black),2009,259,1
1029-1,Milk Delivery Truck - Tine,1999,75,90
102A-1,Front-End Loader,1970,416,64
102A-2,Front-End Loader,1970,416,56
3-Oct,Locomotive Wheels,1977,456,8
1030-1,TECHNIC I: Simple Machines Set,1985,1,191
103-1,4.5V Motor Set with Rubber Tracks,1969,473,24
1031-1,Building Cards - 1030,1983,532,20
103-2,Imagination Set 3,1971,366,568
1032-1,TECHNIC II Set {4.5v},1985,507,280
1033-1,Building Cards - 1032,1985,532,20
1034-1,Teachers Resource Set,1985,532,1534
1038-1,ERBIE the Robo-Car,1985,1,120
1039-1,Manual Control Set 1,1986,1,39
1040-1,Farm (with Picture Book),1991,516,87
10401-1,Rainbow Fun,2018,621,85
1040-2,Farm Set,1986,516,85
10402-1,Fun Future,2018,621,186
1040-3,Universal Building Set,1976,504,126
10403-1,World Fun,2018,621,295
10404-1,Ocean's Bottom,2018,621,579
10405-1,Mission to Mars,2018,621,871
104-1,Replacement 4.5V Motor,1970,243,1
1041-1,Harbor,1986,516,75
1041-2,Universal Building Set,1980,516,126
1042-1,Community People,1986,516,4
1043-1,Farm Animals (and Fences),1986,516,30
1044-1,Community Vehicles,1986,516,30
1045-1,Industrial Elements,1986,516,20
1045-2,Educational LEGO Building Set,1976,511,683
1046-1,Train Set,1985,516,61
1047-1,Extra Track,1986,516,12
1048-1,Bridge and Crossing Tracks,1986,516,15
1049-1,Ships - 247 elements and 1 poster,1985,510,238
10500-1,Horse Stable,2013,632,44
10501-1,Zoo friends,2013,632,5
10502-1,Zoo Bus,2013,632,19
10503-1,Circus Show,2013,632,25
10504-1,My First Circus,2013,632,62
10505-1,Play House,2013,652,83
10506-1,Train Accessory Set,2013,634,24
10507-1,My First Train Set,2013,634,52
10508-1,Deluxe Train Set,2013,634,134
10509-1,Dusty and Chug,2013,627,16
105-1,Canada Post Truck,1984,81,65
10510-1,Ripslinger's Air Race,2013,627,40
10511-1,Skipper's Flight School,2013,627,56
10512-1,Jake's Treasure Hunt,2013,638,22
10513-1,Never Land Hideout,2013,638,37
10514-1,Jake's Pirate Ship Bucky,2013,638,56
10515-1,Ariel's Undersea Castle,2013,640,39
10516-1,Ariel's Magical Boat Ride,2012,640,30
10517-1,My First Garden,2013,632,38
10518-1,My First Construction Site,2013,632,43
10519-1,Garbage Truck,2013,632,16
105-2,Building Set,1973,469,150
10520-1,Big Front Loader,2013,632,12
10521-1,Baby Calf,2014,632,9
10522-1,Farm Animals,2014,632,12
10524-1,Farm Tractor,2014,632,29
10525-1,Big Farm,2014,632,121
10526-1,Peter Pan's Visit,2014,638,39
10527-1,Ambulance,2014,632,14
10528-1,School Bus,2014,632,26
10529-1,Truck,2014,632,16
1053-1,Community Buildings,1984,533,895
10531-1,Mickey Mouse and Friends,2012,641,65
10532-1,My First Police Set,2014,632,39
10538-1,Fire and Rescue Team,2014,627,30
10539-1,Beach Racing,2014,638,37
1054-1,Stena Line Ferry,1999,471,211
10542-1,Sleeping Beauty's Fairy Tale,2014,640,55
10543-1,Superman Rescue,2014,653,19
10544-1,The Joker Challenge,2014,653,40
10545-1,Batcave Adventure,2014,653,59
10546-1,My First Shop,2014,632,39
10550-1,Circus Transport,2013,632,9
10552-1,Creative Cars,2013,632,40
10553-1,Toddler Build and Play Cubes,2013,505,17
10554-1,Toddler Build and Pull Along,2013,505,15
10555-1,Creative Bucket,2013,505,65
10556-1,Creative Chest,2013,505,106
10557-1,Giant Tower,2013,505,200
10558-1,Number Train,2013,504,31
10559-1,A Fairy Tale,2013,505,15
10560-1,Peekaboo Jungle,2013,505,13
1056-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785
10561-1,Toddler Starter Building Set,2013,505,37
10565-1,Creative Suitcase,2014,504,135
10566-1,Creative Picnic,2014,504,53
10567-1,Toddler Build and Boat Fun,2014,504,18
10568-1,Knight Tournament,2014,647,16
10569-1,Treasure Attack,2014,647,46
10570-1,All-in-One-Gift-Set,2014,504,30
10571-1,All-in-One-Pink-Box-of-Fun,2014,504,65
10572-1,All-in-One-Box-of-Fun,2014,504,65
10573-1,Creative Animals,2014,504,25
10574-1,Creative Ice Cream,2014,504,24
10575-1,Duplo Creative Building Cube,2014,504,75
10576-1,Zoo Care,2014,632,9
10577-1,Big Royal Castle,2014,647,135
10579-1,Clubhouse Café,2014,641,16
10580-1,Deluxe Box of Fun,2014,504,95
10581-1,Forest: Ducks,2015,504,13
10582-1,Forest: Animals,2015,504,39
10583-1,Forest: Fishing Trip,2015,504,32
10584-1,Forest: Park,2015,504,105
10585-1,Mom and Baby,2015,504,13
10586-1,Ice Cream Truck,2015,504,11
10587-1,Café,2015,632,52
10589-1,Rally Car,2015,504,13
10590-1,Airport,2015,632,29
10591-1,Fire Boat,2015,632,19
10592-1,Fire Truck,2015,632,26
10593-1,Fire Station,2015,632,105
10594-1,Sofia the First Royal Stable,2015,639,38
10595-1,Sofia the First Royal Castle,2015,639,87
10596-1,Disney Princess Collection,2015,640,63
10597-1,Mickey & Minnie Birthday Parade,2015,641,24
10599-1,Batman Adventure,2015,653,47
10600-1,Classic Race,2015,506,29
1060-1,Road Plates and Signs,1981,533,30
10601-1,Delivery Vehicle,2015,632,19
10602-1,Camping,2015,632,38
10603-1,My First Bus,2015,632,17
10604-1,Treasure Island,2015,638,25
10605-1,Rosie the Ambulance,2015,648,16
10606-1,Backyard Clinic,2015,648,39
10607-1,Spider-Man Web-Bike Workshop,2015,630,13
10608-1,Spider-Man Spider Truck Adventure,2015,630,28
106-1,UNICEF Van,1985,79,59
1061-1,Single Disk Pack,2000,20,0
10615-1,My First Tractor,2015,632,12
10616-1,My First Playhouse,2015,504,25
10617-1,My First Farm,2015,632,26
10618-1,Creative Building Box,2015,504,70
1062-1,Town Vehicles,1980,533,179
10622-1,Large Creative Box,2015,504,193
10623-1,Basic Bricks Large,2015,505,60
1063-1,Community Workers,1985,533,169
1064-1,Dacta Buildings,1981,533,419
1065-1,House Accessories - 182 elements,1985,534,196
10654-1,XL Creative Brick Box,2016,621,1600
10655-1,Monster Trucks,2013,37,197
10656-1,My First LEGO Princess,2013,37,88
10657-1,My First LEGO Set,2013,37,148
10659-1,Blue Suitcase,2013,37,152
10660-1,Pink Suitcase,2013,37,157
1066-1,36 Little People + Accessories,1982,533,174
10661-1,My First LEGO Fire Station,2013,37,90
10662-1,LEGO Creative Bucket,2013,37,607
10663-1,Creative Chest,2013,37,608
10664-1,Creative Tower,2013,22,1600
10665-1,Spider-Man: Spider-Car Pursuit,2014,596,55
10666-1,Digger,2014,591,75
10667-1,Construction,2014,591,160
10668-1,Princess Play Castle,2014,591,150
10669-1,Turtle Lair,2014,591,107
1067-1,Community Vehicles,1988,507,257
10671-1,Fire Emergency,2014,591,123
10672-1,Batman: Defend the Batcave,2014,592,150
10673-1,Race Car Rally,2014,591,350
10674-1,Pony Farm,2014,591,306
10675-1,Police – The Big Escape,2014,591,146
10676-1,Knights’ Castle,2014,591,480
10677-1,Beach Trip,2015,591,74
10679-1,Pirate Treasure Hunt,2015,591,57
10680-1,Garbage Truck,2015,591,99
1068-1,Air Patrol,1999,87,20
10681-1,Creative Building Cube,2014,37,600
10682-1,Creative Suitcase,2014,37,1017
10683-1,Road Work Truck,2015,591,132
10684-1,Supermarket Suitcase,2015,591,134
10685-1,Fire Suitcase,2015,591,113
10686-1,Family House,2015,591,226
10687-1,Spider-Man Hideout,2015,596,137
1069-1,Speedboat,1999,77,22
10692-1,Creative Bricks,2015,621,221
10693-1,Creative Supplement,2015,621,303
10694-1,Creative Supplement Bright,2015,621,303
10695-1,Creative Building Box,2015,621,580
10696-1,Medium Creative Brick Box,2015,621,484
10697-1,XXXL Box,2015,621,1500
10698-1,Large Creative Brick Box,2015,621,790
10699-1,Sand Baseplate,2015,621,1
10700-1,Green Baseplate,2015,621,1
1070-1,Stunt Flyer,1999,87,20
10701-1,Gray Baseplate,2015,621,1
10702-1,Creative Building Set,2016,621,583
10703-1,Creative Builder Box,2017,621,503
10704-1,Creative Box,2017,621,900
10705-1,Creative Building Basket,2016,621,1000
10706-1,Blue Creative Box,2017,621,78
10707-1,Red Creative Box,2017,621,55
10708-1,Green Creative Box,2017,621,66
10709-1,Orange Creative Box,2017,621,60
107-1,4.5V Motor Set,1976,473,31
1071-1,Bricks 2 x 2 and 2 x 4,1986,516,56
10712-1,Bricks and Gears,2018,621,244
10713-1,Creative Suitcase,2018,621,213
10714-1,Blue Baseplate,2018,621,1
10715-1,Bricks on a Roll,2018,621,442
10717-1,Bricks Bricks Bricks,2018,621,1500
107-2,Canada Post Mail Truck,1985,81,138
10720-1,Police Helicopter Chase,2016,591,63
10721-1,Iron Man vs. Loki,2016,596,66
10722-1,Snake Showdown,2016,597,92
10723-1,Ariel's Dolphin Carriage,2016,593,70
10724-1,Batman & Superman vs. Lex Luthor,2016,592,164
10725-1,Lost Temple,2016,597,172
10726-1,Stephanie's Horse Carriage,2016,595,58
10727-1,Emma's Ice Cream Truck,2016,595,136
10728-1,Mia's Vet Clinic,2016,595,182
10729-1,Cinderella's Carriage,2016,593,116
107-3,4.5V Reversible Power Unit,1971,371,24
10730-1,Lightning McQueen Speed Launcher,2017,615,47
10731-1,Cruz Ramirez Race Simulator,2017,615,59
10732-1,Guido and Luigi's Pit Stop,2017,615,75
10733-1,Mater's Junkyard,2017,615,62
10734-1,Demolition Site,2017,591,175
10735-1,Police Truck Chase,2017,591,90
10736-1,Anna & Elsa's Frozen Playground,2017,591,94
10737-1,Batman vs. Mr. Freeze,2017,592,63
10738-1,Snow White's Forest Cottage,2017,593,67
10739-1,Shark Attack,2017,597,108
10740-1,Fire Patrol Suitcase,2017,591,116
10742-1,Willy's Butte Speed Training,2017,615,95
10743-1,Smokey's Garage,2017,615,124
10744-1,Thunder Hollow Crazy 8 Race,2017,615,191
10745-1,Florida 500 Race Final,2017,615,266
10746-1,Mia's Farm Suitcase,2017,595,106
10747-1,Andrea and Stephanie's Beach Holiday,2017,595,143
10748-1,Emma's Pet Party,2018,595,67
10749-1,Mia's Organic Food Market,2018,595,115
10750-1,Road Repair Truck,2018,591,73
1075-1,LEGO People Supplementary Set,1980,511,256
10751-1,Mountain Police Chase,2018,591,115
10753-1,The Joker Batcave Attack,2018,592,151
10754-1,Spider-Man vs. Scorpion Street Showdown,2018,596,125
10755-1,Zane's Ninja Boat Pursuit,2018,597,131
10756-1,Pteranadon Escape,2018,620,84
10757-1,Raptor Rescue Truck,2018,620,85
10758-1,T.Rex Breakout,2018,620,150
10759-1,Elastigirl's Rooftop Pursuit,2018,591,95
10760-1,Underminer Bank Heist,2018,591,149
1076-1,Advent Calendar 1999,1999,207,229
10761-1,The Great Home Escape,2018,591,178
10762-1,Belle's Story Time,2018,593,87
10763-1,Stephanie's Lakeside House,2018,595,215
10764-1,City Central Airport,2018,591,376
10765-1,Ariel's Underwater Concert,2018,579,92
10766-1,Woody & RC,2019,275,69
10767-1,Duke Caboom's Stunt Show,2019,275,120
10768-1,Buzz and Bo Peep's Playground Adventure,2019,275,139
10769-1,Toy Story 4 RV Vacation,2019,275,178
10770-1,Buzz & Woody's Carnival Mania!,2019,275,230
1077-1,Supplementary Set,1976,528,172
10771-1,Carnival Thrill Coaster,2019,275,98
10801-1,Baby Animals,2016,504,13
10802-1,Savanna,2016,632,18
10803-1,Arctic,2016,504,40
10804-1,Jungle,2016,632,86
10805-1,Around the World,2016,504,163
10806-1,Horses,2016,632,20
10807-1,Horse Trailer,2016,632,15
10808-1,Little Plane,2016,632,13
10809-1,Police Patrol,2017,632,15
108-1,Battery Box,1976,243,1
10810-1,Push Train,2016,634,45
10811-1,Backhoe Loader,2017,632,19
10812-1,Truck & Tracked Excavator,2017,632,26
10813-1,Big Construction Site,2016,632,67
10814-1,Tow Truck Set,2016,632,28
10815-1,My First Rocket,2016,504,18
10816-1,My First Cars and Trucks,2016,504,36
10817-1,Creative Chest,2016,504,70
10818-1,My First Truck,2016,632,29
10819-1,My First Garden,2016,632,25
10820-1,"Creative Building Basket, Multi Color",2016,504,110
10822-1,Sofia the First Magical Carriage,2016,639,30
10823-1,Batwing Adventure,2017,653,28
10824-1,Miles' Space Adventures,2017,629,23
10825-1,Miles' Exo-Flex Suit,2016,629,37
10826-1,Miles' Stellosphere Hangar,2017,629,44
10827-1,Mickey and Friends Beach House,2016,641,48
10828-1,Doc McStuffins Pet Vet Care,2016,648,30
10829-1,Mickey's Workshop,2016,641,18
10830-1,Minnie's Cafe,2016,641,27
1083-1,Supplementary Pack,1986,534,106
10831-1,My First Caterpillar,2016,504,19
10832-1,Birthday Picnic,2017,636,19
10833-1,Preschool,2017,636,39
10834-1,Pizzeria,2017,636,57
10835-1,Family House,2017,636,69
10836-1,Neighborhood (Town Square),2017,636,98
10837-1,Santa's Winter Holiday,2017,504,45
10838-1,Family Pets,2017,636,15
10839-1,Shooting Gallery,2017,504,32
10840-1,Big Fair,2017,504,106
10841-1,Fun Family Fair,2017,504,61
10842-1,Batcave Challenge,2017,653,73
10843-1,Mickey Racer,2017,641,15
10844-1,Minnie Mouse Bow-tique,2017,641,70
10845-1,My First Carousel,2017,504,24
10846-1,Flo's Café,2017,506,28
10847-1,My First Number Train,2017,504,23
10848-1,My First Bricks,2017,505,80
